datetime,discharge,silt content
2004-06-29 08:00:00,1800,32
2004-06-29 20:00:00,1900,60
2004-06-30 08:00:00,2100,75
2004-06-30 20:00:00,2200,85
2004-07-01 08:00:00,2300,90
2004-07-01 20:00:00,2400,98
2004-07-02 08:00:00,2500,100
2004-07-02 20:00:00,2600,102
2004-07-03 08:00:00,2650,108
2004-07-03 20:00:00,2700,112
2004-07-04 08:00:00,2720,115
2004-07-04 20:00:00,2650,116
2004-07-05 08:00:00,2600,118
2004-07-05 20:00:00,2500,120
2004-07-06 08:00:00,2300,118
2004-07-06 20:00:00,2200,105
2004-07-07 08:00:00,2000,80
2004-07-07 20:00:00,1850,60
2004-07-08 08:00:00,1820,50
2004-07-08 20:00:00,1800,30
2004-07-09 08:00:00,1750,26
2004-07-09 20:00:00,1500,20
2004-07-10 08:00:00,1000,8
2004-07-10 20:00:00,900,5
